1 bfc00000 0a 00400000
1 bfc0000c 1d 9fc10000
1 bfc00010 1d 9fc1176c
1 bfc00014 1c 9fc10000
1 bfc00018 1c 9fc0a390
1 bfc0001c 19 9fc00000
1 bfc00020 19 9fc0038c
1 9fc0038c 1f 9fc00394
1 9fc003c0 1d 9fc11744
1 9fc003c4 08 9fc00000
1 9fc003cc 04 9fc01590
1 9fc003d0 11 bfaf0000
1 9fc003e0 1f 9fc003e8
1 9fc01308 1d 9fc1172c
1 9fc01310 1f 9fc01318
1 9fc01280 1d 9fc1170c
1 9fc01294 10 00000073
1 9fc012a0 11 9fc01590
1 9fc012a8 12 0000000a
1 9fc012c8 11 9fc01591
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000073
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000068
1 9fc012c8 11 9fc01592
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000068
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000065
1 9fc012c8 11 9fc01593
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000065
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 0000006c
1 9fc012c8 11 9fc01594
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 0000006c
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 0000006c
1 9fc012c8 11 9fc01595
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 0000006c
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000031
1 9fc012c8 11 9fc01596
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000031
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000020
1 9fc012c8 11 9fc01597
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000020
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000074
1 9fc012c8 11 9fc01598
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000074
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000065
1 9fc012c8 11 9fc01599
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000065
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000073
1 9fc012c8 11 9fc0159a
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000073
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000074
1 9fc012c8 11 9fc0159b
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000074
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000020
1 9fc012c8 11 9fc0159c
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000020
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000062
1 9fc012c8 11 9fc0159d
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000062
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000065
1 9fc012c8 11 9fc0159e
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000065
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
1 9fc01270 1d 9fc1170c
1 9fc012b4 10 00000067
1 9fc012c8 11 9fc0159f
1 9fc012ac 1f 9fc012b4
1 9fc012b0 04 00000067
1 9fc01254 1d 9fc116f4
1 9fc0125c 1f 9fc01264
1 9fc01240 19 bfb00000
1 9fc01264 1f 9fc012b4
1 9fc01268 02 00000000
